Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8152173913043478,0.8938307030129125,0.8269230769230769,0.8431372549019608,0.8349514563106796,0.6252718939178551
Decision Tree,0.7391304347826086,0.7312290769966523,0.7454545454545455,0.803921568627451,0.7735849056603774,0.46877803138411506
KNN,0.8478260869565217,0.8763749402199905,0.8854166666666666,0.8333333333333334,0.8585858585858586,0.6957022361467944
Naive Bayes,0.8260869565217391,0.8836681013868962,0.8301886792452831,0.8627450980392157,0.8461538461538461,0.6469564240519006
Random Forest,0.8260869565217391,0.9189980870396939,0.85,0.8333333333333334,0.8415841584158416,0.649011279353322
XGBoost,0.8260869565217391,0.9044715447154472,0.8365384615384616,0.8529411764705882,0.8446601941747572,0.6473290312799881
